,UNIT_TYPE,CLIMATE_REGION,DECADE_BUILT,FLOOR_AREA_log,COOL_TYPE,EQUIP_AGE,HEAT_TYPE,THERMOSTAT,HIGH_CEIL,ATTIC,BASEMENT,BEDROOMS,BATHROOMS,SIZEOFGARAGE,STORIES,OWNERSHIP,COOL_COST_log,HEAT_COST_log,WATERHEAT_COST_log,ELECT_COST_log,TOT_COST_log
0,Detached house,Hot-Dry/Mixed-Dry,2000-2009,7.500529485395295,Central,D: 10-14 yrs,Central furnace,1.0,1.0,0.0,0.0,3,2.5-3.5,2.0,2,Owned,5.903889374852029,5.179477522666504,5.518777320233045,6.4015356977633875,7.239322649246055
1,Detached house,Hot-Humid,1980-1989,6.633318433280377,Individual,A: -2 yrs,Other individual,1.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Owned,5.523618588416046,5.944163273989969,5.461668449709889,7.0188135316636515,7.591866760285884
2,Detached house,Mixed-Humid,1970-1979,7.735870319952567,Both central and individual,E: 15-19 yrs,Central furnace,1.0,0.0,0.0,1.0,4,1.5-2,0.0,1,Owned,6.740081911693973,6.400539797470276,5.528277631189169,7.3679926229372805,8.095891341481726
3,Detached house,Mixed-Humid,1950-1959,7.853216388156072,Central,C: 5-9 yrs,Central furnace,0.0,1.0,0.0,1.0,3,1.5-2,2.0,1,Owned,6.1572543713922165,6.762105034532924,4.75030895165433,6.736955095535293,7.737267334062599
4,Detached house,Cold/Very Cold,1970-1979,6.932447891572509,Central,C: 5-9 yrs,Central furnace,0.0,0.0,1.0,1.0,3,1.5-2,1.0,2,Owned,4.143928062410929,4.232220669556607,5.399338480606764,6.253867272374309,6.76872307028658
5,Apartment in bld with 5+ units,Cold/Very Cold,1980-1989,6.436150368369428,Individual,C: 5-9 yrs,Central furnace,0.0,0.0,0.0,0.0,,0-1,0.0,1,Rented,3.365915567517516,5.589866950526307,5.635824781472974,6.146414907105805,6.947927462420895
6,Apartment in bld with 2-4 units,Hot-Humid,1960-1969,6.725033642166843,Central,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,4.982784365940479,5.296716085181063,5.015224746430063,5.4281607166967865,6.580611397649169
7,Detached house,Cold/Very Cold,1970-1979,7.894690850425624,Individual,F: +20 yrs,Central furnace,1.0,0.0,1.0,1.0,3,0-1,1.0,1,Owned,4.4499189007168,6.242125984458931,4.905052531521191,7.41067977085187,7.776992138459519
8,Detached house,Cold/Very Cold,1980-1989,7.550135342488429,Central,F: +20 yrs,Central furnace,1.0,0.0,0.0,0.0,4,1.5-2,2.0,2,Owned,4.781725147887709,6.860716080976351,6.1969124498865025,7.254602084601889,7.998399238001057
9,Detached house,Hot-Humid,1950-1959,7.115582126184454,Central,E: 15-19 yrs,Central furnace,1.0,0.0,1.0,0.0,3,1.5-2,2.0,1,Rented,5.804833718725929,5.617243713238962,5.824583174801905,7.404778080570667,7.858010627210022
10,Detached house,Cold/Very Cold,1960-1969,7.668561108015897,Individual,B: 2-4 yrs,Central furnace,0.0,0.0,0.0,1.0,3,1.5-2,0.0,2,Owned,2.9517803860248084,7.107785769556865,4.489198009735671,6.311607759340142,7.53772834051781
11,Detached house,Mixed-Humid,.<1950,6.398594934535208,None,E: 15-19 yrs,Central furnace,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,0.0,6.708145132050641,5.232925147780985,6.942678308771367,7.620670772524043
12,Detached house,Hot-Humid,2010-2015,7.541683099882111,Central,B: 2-4 yrs,Central furnace,1.0,0.0,1.0,0.0,3,1.5-2,2.0,1,Rented,5.95254178956152,6.185261673626961,5.119370110393032,7.287635876877467,7.822689090656337
13,Apartment in bld with 5+ units,Cold/Very Cold,1970-1979,6.663132695990803,Individual,F: +20 yrs,Other individual,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,3.6130777406976544,6.446973002078,4.356708826689592,6.840247019199376,7.425113518673425
14,Detached house,Cold/Very Cold,2000-2009,8.368461137615839,Central,D: 10-14 yrs,Central furnace,1.0,0.0,0.0,1.0,4,2.5-3.5,2.0,2,Owned,5.304200029706192,6.546311840968295,5.5722300749138185,7.516335365584564,8.004929867988526
15,Apartment in bld with 5+ units,Hot-Humid,2010-2015,7.37650812632622,Central,B: 2-4 yrs,Central furnace,0.0,0.0,0.0,0.0,3,2.5-3.5,0.0,1,Rented,5.418541863854405,5.205159868061787,6.581942032946548,7.41645664811601,7.933735941059346
16,Mobile home,Mixed-Humid,1990-1999,6.829793737512425,Central,C: 5-9 yrs,Central furnace,1.0,0.0,0.0,0.0,3,1.5-2,0.0,1,Owned,5.136151315957647,5.552145299993241,6.314815358839217,7.239889548787266,7.7712737285682865
17,Apartment in bld with 2-4 units,Cold/Very Cold,.<1950,7.109062135687172,None,D: 10-14 yrs,Central furnace,1.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Owned,0.0,5.368589419533368,5.730034845800267,6.204133430128171,6.922968961787518
18,Detached house,Marine,1990-1999,7.417580402414544,Central,F: +20 yrs,Central furnace,1.0,1.0,1.0,0.0,0-2,1.5-2,2.0,1,Owned,3.5672766323546874,5.695010782269077,5.273307203543869,6.405872878446569,7.030194126174715
19,Detached house,Mixed-Humid,1970-1979,7.937731775260109,Individual,F: +20 yrs,Other individual,1.0,0.0,0.0,1.0,0-2,1.5-2,0.0,1,Owned,5.631964186865729,7.184970262084074,6.116421786512366,6.9301721332661375,8.02994411051196
20,Detached house,Marine,.<1950,8.009363076630045,None,F: +20 yrs,Other individual,0.0,0.0,0.0,1.0,0-2,0-1,0.0,1,Rented,0.0,6.358898900448138,5.465017542439035,6.48309206082042,7.290211023707449
21,Attached house,Mixed-Humid,1970-1979,7.61085279039525,Individual,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,1.0,3,1.5-2,0.0,2,Rented,5.203621997708712,6.378120534229092,5.842529409331661,7.0675670474238546,7.73442322711016
22,Detached house,Cold/Very Cold,1970-1979,7.9996785794994505,Central,D: 10-14 yrs,Central furnace,1.0,1.0,0.0,1.0,3,1.5-2,2.0,1,Owned,4.557134736949535,6.466813241010416,4.953570993474578,6.525102968939129,7.352101298927911
23,Apartment in bld with 5+ units,Mixed-Humid,2000-2009,7.4318919168078,Central,D: 10-14 yrs,Central furnace,1.0,1.0,0.0,0.0,0-2,1.5-2,0.0,1,Rented,4.642273273939594,5.829563074003591,5.272383984521532,6.693596245739392,7.27454192689131
24,Detached house,Cold/Very Cold,2000-2009,8.125926802707886,Central,C: 5-9 yrs,Central furnace,1.0,1.0,0.0,1.0,4,2.5-3.5,2.0,2,Owned,4.6602263917361695,6.040635591114431,5.590613776550563,7.30367497424677,7.7303812765636915
25,Attached house,Mixed-Humid,1980-1989,7.356279876550748,Central,F: +20 yrs,Central furnace,1.0,1.0,1.0,0.0,3,2.5-3.5,0.0,2,Owned,5.214392131610276,6.968445780981366,5.717323710222868,7.568265625015785,8.155746882598613
26,Detached house,Mixed-Humid,1970-1979,8.067462667010057,Both central and individual,F: +20 yrs,Central furnace,1.0,1.0,1.0,1.0,4,1.5-2,2.0,2,Owned,6.2274058566520525,6.360887883868881,5.10727791913436,6.896057121569645,7.712349912154249
27,Detached house,Mixed-Humid,1970-1979,7.0431599159883405,Individual,F: +20 yrs,Other individual,0.0,0.0,1.0,0.0,3,0-1,0.0,1,Owned,5.270432163058501,6.745718586130754,5.850131370991338,7.435426220334907,8.034037856380593
28,Detached house,Hot-Humid,1960-1969,7.691200097522863,Central,B: 2-4 yrs,Central furnace,1.0,1.0,0.0,0.0,3,2.5-3.5,2.0,1,Owned,6.984595942502801,5.527681529675303,5.432760843097527,6.741771530395801,7.785001602160467
29,Detached house,Cold/Very Cold,1950-1959,8.026170194946426,Central,B: 2-4 yrs,Central furnace,0.0,0.0,1.0,1.0,4,2.5-3.5,2.0,2,Owned,4.129067998280486,7.484009028070532,5.080285727120003,7.277365204181314,8.145105797805014
30,Detached house,Hot-Dry/Mixed-Dry,2000-2009,8.040768994367578,Central,A: -2 yrs,Central furnace,0.0,1.0,0.0,0.0,4,2.5-3.5,2.0,2,Owned,7.1594085387420625,5.465609884322231,5.295162394854736,6.255999530781941,7.714262394360815
31,Detached house,Hot-Humid,1950-1959,7.497207223203318,Central,A: -2 yrs,Central furnace,0.0,0.0,0.0,0.0,3,0-1,1.0,1,Owned,6.3479494729944275,5.691473698188603,4.873898770522785,6.097669705954298,7.272606704205004
32,Apartment in bld with 5+ units,Cold/Very Cold,.<1950,6.902742737158593,None,D: 10-14 yrs,Other individual,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,0.0,5.796847712219876,4.430816798843313,6.585964736896907,7.035365425579195
33,Apartment in bld with 5+ units,Mixed-Humid,1970-1979,7.024649030453636,Central,A: -2 yrs,Central heat pump,1.0,0.0,0.0,0.0,0-2,1.5-2,0.0,1,Owned,4.400357591358605,5.944765944098742,5.698836932263187,7.080464114593031,7.574183670642165
