,UNIT_TYPE,CLIMATE_REGION,DECADE_BUILT,FLOOR_AREA,COOL_TYPE,EQUIP_AGE,HEAT_TYPE,HIGH_CEIL,ATTIC,BASEMENT,BEDROOMS,THERMOSTAT,SIZEOFGARAGE,STORIES,OWNERSHIP,COOL_COST,HEAT_COST,WATERHEAT_COST,HOTTUB,SWIMPOOL,BATHROOMS,ELECT_COST,TOT_COST
0,Detached house,Hot-Dry/Mixed-Dry,2000-2009,1808.0,Central,D: 10-14 yrs,Central furnace,1.0,0.0,0.0,3,1.0,2.0,2,Owned,365.46,176.59,248.33,0,0.0,2.5-3.5,601.77,1392.15
1,Detached house,Hot-Humid,1980-1989,759.0,Individual,A: -2 yrs,Other individual,0.0,0.0,0.0,0-2,1.0,,1,Owned,249.54,380.52,234.49,0,0.0,0-1,1116.46,1981.01
2,Detached house,Mixed-Humid,1970-1979,2288.0,Both central and individual,E: 15-19 yrs,Central furnace,0.0,0.0,1.0,4,1.0,,1,Owned,844.63,601.17,250.71,0,0.0,1.5-2,1583.4499999999998,3279.96
3,Detached house,Mixed-Humid,1950-1959,2573.0,Central,C: 5-9 yrs,Central furnace,1.0,0.0,1.0,3,0.0,2.0,1,Owned,471.13,863.46,114.62,0,0.0,1.5-2,841.9899999999999,2291.2
4,Detached house,Cold/Very Cold,1970-1979,1024.0,Central,C: 5-9 yrs,Central furnace,0.0,1.0,1.0,3,0.0,1.0,2,Owned,62.05,67.87,220.26,0,0.0,1.5-2,519.0200000000001,869.2
5,Apartment in bld with 5+ units,Cold/Very Cold,1980-1989,623.0,Individual,C: 5-9 yrs,Central furnace,0.0,,,,0.0,,NA,Rented,27.96,266.7,279.29,0,,0-1,466.04,1039.99
6,Apartment in bld with 2-4 units,Hot-Humid,1960-1969,832.0,Central,D: 10-14 yrs,Central furnace,0.0,,,0-2,0.0,,NA,Rented,144.88,198.68,149.69,0,,0-1,226.73000000000002,719.98
7,Detached house,Cold/Very Cold,1970-1979,2682.0,Individual,F: +20 yrs,Central furnace,0.0,1.0,1.0,3,1.0,1.0,1,Owned,84.62,512.95,133.97,0,0.0,0-1,1652.5500000000002,2384.09
8,Detached house,Cold/Very Cold,1980-1989,1900.0,Central,F: +20 yrs,Central furnace,0.0,0.0,0.0,4,1.0,2.0,2,Owned,118.31,953.05,490.23,0,0.0,1.5-2,1413.6000000000001,2975.19
9,Detached house,Hot-Humid,1950-1959,1230.0,Central,E: 15-19 yrs,Central furnace,0.0,1.0,0.0,3,1.0,2.0,1,Rented,330.9,274.13,337.52,0,0.0,1.5-2,1642.8200000000002,2585.37
10,Detached house,Cold/Very Cold,1960-1969,2139.0,Individual,B: 2-4 yrs,Central furnace,0.0,0.0,1.0,3,0.0,,2,Owned,18.14,1220.44,88.05,0,0.0,1.5-2,549.9300000000001,1876.5600000000002
11,Detached house,Mixed-Humid,.<1950,600.0,None,E: 15-19 yrs,Central furnace,0.0,0.0,0.0,0-2,0.0,,1,Rented,0.0,818.05,186.34,0,0.0,0-1,1034.54,2038.9299999999998
12,Detached house,Hot-Humid,2010-2015,1884.0,Central,B: 2-4 yrs,Central furnace,0.0,1.0,0.0,3,1.0,2.0,1,Rented,383.73,484.54,166.23,0,0.0,1.5-2,1461.11,2495.6099999999997
13,Apartment in bld with 5+ units,Cold/Very Cold,1970-1979,782.0,Individual,F: +20 yrs,Other individual,0.0,,,0-2,0.0,,NA,Rented,36.08,629.79,77.0,0,,0-1,933.7199999999999,1676.59
14,Detached house,Cold/Very Cold,2000-2009,4308.0,Central,D: 10-14 yrs,Central furnace,0.0,0.0,1.0,4,1.0,2.0,2,Owned,200.18,695.67,262.02,0,0.0,2.5-3.5,1836.82,2994.6899999999996
15,Apartment in bld with 5+ units,Hot-Humid,2010-2015,1597.0,Central,B: 2-4 yrs,Central furnace,0.0,,,3,0.0,,NA,Rented,224.55,181.21,720.94,0,,2.5-3.5,1662.13,2788.83
16,Mobile home,Mixed-Humid,1990-1999,924.0,Central,C: 5-9 yrs,Central furnace,,,,3,1.0,,NA,Owned,169.06,256.79,551.7,0,0.0,1.5-2,1392.94,2370.4900000000002
17,Apartment in bld with 2-4 units,Cold/Very Cold,.<1950,1222.0,None,D: 10-14 yrs,Central furnace,0.0,,,0-2,1.0,,NA,Owned,0.0,213.56,306.98,0,,0-1,493.79,1014.3299999999999
18,Detached house,Marine,1990-1999,1664.0,Central,F: +20 yrs,Central furnace,1.0,1.0,0.0,0-2,1.0,2.0,1,Owned,34.42,296.38,194.06,0,0.0,1.5-2,604.39,1129.25
19,Detached house,Mixed-Humid,1970-1979,2800.0,Individual,F: +20 yrs,Other individual,0.0,0.0,1.0,0-2,1.0,,1,Owned,278.21,1318.45,452.24,0,0.0,1.5-2,1021.6700000000001,3070.57
20,Detached house,Marine,.<1950,3008.0,None,F: +20 yrs,Other individual,0.0,0.0,1.0,0-2,0.0,,1,Rented,0.0,576.61,235.28,0,0.0,0-1,652.99,1464.88
21,Attached house,Mixed-Humid,1970-1979,2019.0,Individual,D: 10-14 yrs,Central furnace,0.0,0.0,1.0,3,0.0,,2,Rented,180.93,587.82,343.65,0,0.0,1.5-2,1172.29,2284.69
22,Detached house,Cold/Very Cold,1970-1979,2979.0,Central,D: 10-14 yrs,Central furnace,1.0,0.0,1.0,3,1.0,2.0,1,Owned,94.31,642.43,140.68,0,0.0,1.5-2,681.05,1558.47
23,Apartment in bld with 5+ units,Mixed-Humid,2000-2009,1688.0,Central,D: 10-14 yrs,Central furnace,1.0,,,0-2,1.0,,NA,Rented,102.78,339.21,193.88,0,,1.5-2,806.22,1442.0900000000001
24,Detached house,Cold/Very Cold,2000-2009,3380.0,Central,C: 5-9 yrs,Central furnace,1.0,0.0,1.0,4,1.0,2.0,2,Owned,104.66,419.16,266.9,0,0.0,2.5-3.5,1484.75,2275.4700000000003
25,Attached house,Mixed-Humid,1980-1989,1565.0,Central,F: +20 yrs,Central furnace,1.0,1.0,0.0,3,1.0,,2,Owned,182.9,1061.57,303.09,0,0.0,2.5-3.5,1934.7799999999997,3482.3399999999997
26,Detached house,Mixed-Humid,1970-1979,3188.0,Both central and individual,F: +20 yrs,Central furnace,1.0,1.0,1.0,4,1.0,2.0,2,Owned,505.44,577.76,164.22,0,0.0,1.5-2,987.3699999999999,2234.79
27,Detached house,Mixed-Humid,1970-1979,1144.0,Individual,F: +20 yrs,Other individual,0.0,1.0,0.0,3,0.0,,1,Owned,193.5,849.41,346.28,0,0.0,0-1,1693.98,3083.17
28,Detached house,Hot-Humid,1960-1969,2188.0,Central,B: 2-4 yrs,Central furnace,1.0,0.0,0.0,3,1.0,2.0,1,Owned,1078.87,250.56,227.78,0,0.0,2.5-3.5,846.0600000000002,2403.27
29,Detached house,Cold/Very Cold,1950-1959,3059.0,Central,B: 2-4 yrs,Central furnace,0.0,1.0,1.0,4,0.0,2.0,2,Owned,61.12,1778.36,159.82,0,1.0,2.5-3.5,1446.17,3445.47
30,Detached house,Hot-Dry/Mixed-Dry,2000-2009,3104.0,Central,A: -2 yrs,Central furnace,1.0,0.0,0.0,4,0.0,2.0,2,Owned,1285.15,235.42,198.37,0,0.0,2.5-3.5,520.1299999999999,2239.0699999999997
31,Detached house,Hot-Humid,1950-1959,1802.0,Central,A: -2 yrs,Central furnace,0.0,0.0,0.0,3,0.0,1.0,1,Owned,570.32,295.33,129.83,0,0.0,0-1,443.81999999999994,1439.3000000000002
32,Apartment in bld with 5+ units,Cold/Very Cold,.<1950,994.0,None,D: 10-14 yrs,Other individual,0.0,,,0-2,,,NA,Rented,0.0,328.26,83.0,0,,0-1,723.85,1135.1100000000001
33,Apartment in bld with 5+ units,Mixed-Humid,1970-1979,1123.0,Central,A: -2 yrs,Central heat pump,0.0,,,0-2,1.0,,NA,Owned,80.48,380.75,297.52,0,,1.5-2,1187.52,1946.27
34,Attached house,Mixed-Humid,1970-1979,1466.0,Central,F: +20 yrs,Other individual,0.0,0.0,0.0,3,1.0,2.0,2,Owned,243.74,875.97,184.16,0,0.0,2.5-3.5,1451.84,2755.71
35,Attached house,Mixed-Humid,.<1950,2359.0,Individual,F: +20 yrs,Central water system,1.0,0.0,1.0,3,0.0,,2,Owned,126.35,1004.92,104.29,0,0.0,1.5-2,399.14,1634.6999999999998
36,Detached house,Hot-Humid,1980-1989,3298.0,None,C: 5-9 yrs,Central furnace,0.0,1.0,0.0,3,1.0,2.0,1,Owned,0.0,598.61,639.88,0,0.0,1.5-2,2281.96,3520.45
37,Detached house,Mixed-Humid,1970-1979,1682.0,Central,E: 15-19 yrs,Central furnace,0.0,0.0,0.0,3,0.0,1.0,1,Owned,334.12,365.94,127.54,0,0.0,1.5-2,678.68,1506.2799999999997
38,Detached house,Cold/Very Cold,2000-2009,2000.0,None,E: 15-19 yrs,Other individual,1.0,0.0,0.0,0-2,,,1,Owned,0.0,233.3,206.56,0,0.0,0-1,468.0,907.86
39,Detached house,Mixed-Humid,1970-1979,1050.0,Individual,A: -2 yrs,Central furnace,1.0,0.0,0.0,3,,,1,Rented,133.21,1132.28,469.64,0,0.0,0-1,2305.79,4040.92
40,Detached house,Mixed-Humid,1950-1959,2518.0,Central,C: 5-9 yrs,Central furnace,0.0,0.0,1.0,4,1.0,1.0,2,Owned,459.97,1480.69,317.27,0,0.0,1.5-2,1558.3799999999999,3816.3100000000004
41,Detached house,Mixed-Humid,.<1950,2215.0,Central,B: 2-4 yrs,Central furnace,0.0,1.0,1.0,3,0.0,1.0,1,Owned,318.76,503.51,76.08,0,1.0,1.5-2,1242.03,2140.38
42,Detached house,Hot-Dry/Mixed-Dry,1960-1969,1533.0,Central,E: 15-19 yrs,Central furnace,0.0,0.0,0.0,4,1.0,2.0,1,Owned,417.01,342.65,188.51,0,0.0,1.5-2,901.3,1849.4699999999998
43,Apartment in bld with 5+ units,Cold/Very Cold,1980-1989,811.0,Central,C: 5-9 yrs,Central furnace,0.0,,,0-2,0.0,,NA,Rented,39.16,200.92,440.32,0,,0-1,1163.4399999999998,1843.8399999999997
44,Detached house,Marine,1980-1989,2357.0,None,E: 15-19 yrs,Central furnace,1.0,0.0,0.0,4,0.0,2.0,3,Owned,0.0,418.25,167.66,0,0.0,+3.5,2198.83,2784.74
45,Detached house,Cold/Very Cold,1980-1989,2936.0,Individual,F: +20 yrs,Central water system,0.0,0.0,1.0,3,1.0,2.0,2,Owned,131.78,445.16,147.82,0,0.0,2.5-3.5,549.9,1274.6599999999999
46,Attached house,Marine,2010-2015,1492.0,None,A: -2 yrs,Other individual,1.0,0.0,0.0,0-2,0.0,2.0,3,Rented,0.0,212.67,243.21,0,0.0,2.5-3.5,783.04,1238.92
47,Detached house,Mixed-Humid,1970-1979,1570.0,Central,C: 5-9 yrs,Central furnace,0.0,1.0,0.0,3,0.0,1.0,1,Rented,280.24,1261.97,715.13,0,0.0,1.5-2,2415.8999999999996,4673.24
48,Detached house,Hot-Humid,1960-1969,1632.0,Central,F: +20 yrs,Central furnace,0.0,0.0,0.0,3,0.0,,1,Owned,863.3,704.36,576.73,0,0.0,1.5-2,1727.76,3872.1499999999996
49,Detached house,Hot-Humid,1960-1969,2462.0,Central,D: 10-14 yrs,Central furnace,0.0,1.0,0.0,3,1.0,2.0,1,Owned,597.08,313.19,132.58,0,0.0,1.5-2,599.6899999999999,1642.54
50,Detached house,Cold/Very Cold,1970-1979,1470.0,Individual,F: +20 yrs,Other individual,0.0,0.0,1.0,0-2,0.0,1.0,1,Occupied,42.49,1441.52,299.08,0,0.0,0-1,2200.8900000000003,3983.9800000000005
