,UNIT_TYPE,CLIMATE_REGION,DECADE_BUILT,HDD65,CDD65,FLOOR_AREA,FLOOR_AREA_log,COOL_TYPE,EQUIP_AGE,HEAT_TYPE,THERMOSTAT,HIGH_CEIL,ATTIC,BASEMENT,BEDROOMS,BATHROOMS,SIZEOFGARAGE,STORIES,OWNERSHIP,COOL_COST,COOL_COST_log,HEAT_COST,HEAT_COST_log,WATERHEAT_COST,WATERHEAT_COST_log,ELECT_COST,ELECT_COST_log
0,Detached house,Hot-Dry/Mixed-Dry,2000-2009,2031.0,1768.0,1808.0,7.4999765409521215,Central,D: 10-14 yrs,Central furnace,1.0,1.0,0.0,0.0,3,2.5,2.0,2,Owned,365.46,5.901156834076448,176.59,5.173830661425033,248.33,5.514758506802571,601.77,6.399875312504716
1,Detached house,Hot-Humid,1980-1989,1915.0,2795.0,759.0,6.63200177739563,Individual,A: -2 yrs,Other individual,1.0,0.0,0.0,0.0,2,1.0,0.0,1,Owned,249.54,5.519619222982875,380.52,5.941538738338256,234.49,5.457412943053815,1116.46,7.017918244395714
2,Detached house,Mixed-Humid,1970-1979,2263.0,2235.0,2288.0,7.7354333524996886,Both central and individual,E: 15-19 yrs,Central furnace,1.0,0.0,0.0,1.0,4,2.0,0.0,1,Owned,844.63,6.738898661641705,601.17,6.398877756434162,250.71,5.524296892681455,1583.4499999999996,7.3673612898565555
3,Detached house,Mixed-Humid,1950-1959,3754.0,1374.0,2573.0,7.8528278122817445,Central,C: 5-9 yrs,Central furnace,0.0,1.0,0.0,1.0,3,2.0,2.0,1,Owned,471.13,6.15513406442565,863.46,6.760947573410137,114.62,4.741622309123591,841.9899999999999,6.7357681376872405
4,Detached house,Cold/Very Cold,1970-1979,5401.0,993.0,1024.0,6.931471805599453,Central,C: 5-9 yrs,Central furnace,0.0,0.0,1.0,1.0,3,2.0,1.0,2,Owned,62.05,4.127940511650616,67.87,4.217594110715667,220.26,5.394808666736798,519.0200000000002,6.251942418068882
5,Apartment in bld with 5+ units,Cold/Very Cold,1980-1989,7597.0,408.0,623.0,6.434546518787453,Individual,C: 5-9 yrs,Central furnace,0.0,0.0,0.0,0.0,0,1.0,0.0,1,Rented,27.96,3.3307749173656096,266.7,5.586124431187969,279.29,5.632250668514958,466.04,6.14427146735174
6,Apartment in bld with 2-4 units,Hot-Humid,1960-1969,1579.0,2582.0,832.0,6.723832440821209,Central,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,0.0,2,1.0,0.0,1,Rented,144.88,4.9759058135751575,198.68,5.2916954902391495,149.69,5.008566488927144,226.73,5.423759882238551
7,Detached house,Cold/Very Cold,1970-1979,6560.0,673.0,2682.0,7.894318063841624,Individual,F: +20 yrs,Central furnace,1.0,0.0,1.0,1.0,3,1.0,1.0,1,Owned,84.62,4.438170645291922,512.95,6.240178374533722,133.97,4.8976158942888945,1652.5500000000004,7.410074828454184
8,Detached house,Cold/Very Cold,1980-1989,5301.0,1083.0,1900.0,7.549609165154532,Central,F: +20 yrs,Central furnace,1.0,0.0,0.0,0.0,4,2.0,2.0,2,Owned,118.31,4.7733082982655715,953.05,6.8596673681750815,490.23,6.194874668731803,1413.6,7.253894921005487
9,Detached house,Hot-Humid,1950-1959,1400.0,3390.0,1230.0,7.114769448366463,Central,E: 15-19 yrs,Central furnace,1.0,0.0,1.0,0.0,3,2.0,2.0,1,Rented,330.9,5.801816214927566,274.13,5.613602446425789,337.52,5.8216247678160835,1642.8200000000004,7.404169556344796
10,Detached house,Cold/Very Cold,1960-1969,6400.0,771.0,2139.0,7.668093709082406,Individual,B: 2-4 yrs,Central furnace,0.0,0.0,0.0,1.0,3,1.5,0.0,2,Owned,18.14,2.8981194446869907,1220.44,7.10696672844436,88.05,4.4779048349422155,549.9300000000002,6.309790997399383
11,Detached house,Mixed-Humid,.<1950,4007.0,1706.0,600.0,6.396929655216146,None,E: 15-19 yrs,Central furnace,0.0,0.0,0.0,0.0,1,1.0,0.0,1,Rented,0.0,0.0,818.05,6.706923459429086,186.34,5.227572962022279,1034.54,6.941712162460319
12,Detached house,Hot-Humid,2010-2015,1327.0,2935.0,1884.0,7.5411524551363085,Central,B: 2-4 yrs,Central furnace,1.0,0.0,1.0,0.0,3,2.0,2.0,1,Rented,383.73,5.9499391802794115,484.54,6.183199987262512,166.23,5.113372371547368,1461.11,7.2869516998131285
13,Apartment in bld with 5+ units,Cold/Very Cold,1970-1979,6449.0,674.0,782.0,6.661854740545311,Individual,F: +20 yrs,Other individual,0.0,0.0,0.0,0.0,2,1.0,0.0,1,Rented,36.08,3.585738695194423,629.79,6.445386430484341,77.0,4.343805421853684,933.72,6.839176607416839
14,Detached house,Cold/Very Cold,2000-2009,5274.0,1053.0,4308.0,8.36822903827628,Central,D: 10-14 yrs,Central furnace,1.0,0.0,0.0,1.0,4,2.5,2.0,2,Owned,200.18,5.299216961790873,695.67,6.544875409964454,262.02,5.568420836725524,1836.82,7.51579109456771
15,Apartment in bld with 5+ units,Hot-Humid,2010-2015,1013.0,3705.0,1597.0,7.3758821482150125,Central,B: 2-4 yrs,Central furnace,0.0,0.0,0.0,0.0,3,2.5,0.0,1,Rented,224.55,5.4140983995337475,181.21,5.199656579724066,720.94,6.580555916069039,1662.13,7.415855191369683
16,Mobile home,Mixed-Humid,1990-1999,2446.0,2019.0,924.0,6.828712071641684,Central,C: 5-9 yrs,Central furnace,1.0,0.0,0.0,0.0,3,2.0,0.0,1,Owned,169.06,5.130253681500782,256.79,5.5482586302476244,551.7,6.313004420278385,1392.94,7.239171900346775
17,Apartment in bld with 2-4 units,Cold/Very Cold,.<1950,6647.0,609.0,1222.0,7.108244139731541,None,D: 10-14 yrs,Central furnace,1.0,0.0,0.0,0.0,2,1.0,0.0,1,Owned,0.0,0.0,213.56,5.3639178236319855,306.98,5.726782598885262,493.79,6.202110325592211
18,Detached house,Marine,1990-1999,3927.0,521.0,1664.0,7.416979621381154,Central,F: +20 yrs,Central furnace,1.0,1.0,1.0,0.0,2,2.0,2.0,1,Owned,34.42,3.5386377907833935,296.38,5.691642414762033,194.06,5.268167389597154,604.39,6.404219684927493
19,Detached house,Mixed-Humid,1970-1979,4001.0,1742.0,2800.0,7.937374696163295,Individual,F: +20 yrs,Other individual,1.0,0.0,0.0,1.0,2,2.0,0.0,1,Owned,278.21,5.628376224206372,1318.45,7.184212083193364,452.24,6.114213012367036,1021.67,6.92919382233962
20,Detached house,Marine,.<1950,2034.0,420.0,3008.0,8.00903068506973,None,F: +20 yrs,Other individual,0.0,0.0,0.0,1.0,2,1.0,0.0,1,Rented,0.0,0.0,576.61,6.357166128099352,235.28,5.46077629424574,652.99,6.48156181522349
21,Attached house,Mixed-Humid,1970-1979,4089.0,1548.0,2019.0,7.610357618312838,Individual,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,1.0,3,1.5,0.0,2,Rented,180.93,5.198110216131005,587.82,6.376420778584606,343.65,5.839623697567614,1172.29,7.0667143798017005
22,Detached house,Cold/Very Cold,1970-1979,6014.0,781.0,2979.0,7.999342952713282,Central,D: 10-14 yrs,Central furnace,1.0,1.0,0.0,1.0,3,2.0,2.0,1,Owned,94.31,4.546587228555794,642.43,6.465257861417614,140.68,4.946487807605782,681.05,6.52363572489335
23,Apartment in bld with 5+ units,Mixed-Humid,2000-2009,3981.0,1369.0,1688.0,7.431299675155903,Central,D: 10-14 yrs,Central furnace,1.0,1.0,0.0,0.0,2,2.0,0.0,1,Rented,102.78,4.632590781564083,339.21,5.826619384615263,193.88,5.267239410977175,806.22,6.692356658115373
24,Detached house,Cold/Very Cold,2000-2009,6461.0,597.0,3380.0,8.125630988477065,Central,C: 5-9 yrs,Central furnace,1.0,1.0,0.0,1.0,4,2.5,2.0,2,Owned,104.66,4.650717000944062,419.16,6.038252708606741,266.9,5.586874056410478,1484.75,7.3030016868959695
25,Attached house,Mixed-Humid,1980-1989,4876.0,1205.0,1565.0,7.355641102974253,Central,F: +20 yrs,Central furnace,1.0,1.0,1.0,0.0,3,2.5,0.0,2,Owned,182.9,5.20893955539682,1061.57,6.967504223387349,303.09,5.714029791107751,1934.78,7.567748903909666
26,Detached house,Mixed-Humid,1970-1979,4612.0,1382.0,3188.0,8.067149039910106,Both central and individual,F: +20 yrs,Central furnace,1.0,1.0,1.0,1.0,4,1.5,2.0,2,Owned,505.44,6.225429337053775,577.76,6.359158557529147,164.22,5.101206992280643,987.37,6.895044842539618
27,Detached house,Mixed-Humid,1970-1979,3585.0,1780.0,1144.0,7.042286171939743,Individual,F: +20 yrs,Other individual,0.0,0.0,1.0,0.0,3,1.0,0.0,1,Owned,193.5,5.2652775124698366,849.41,6.744541990826116,346.28,5.847247696347573,1693.98,7.434836068766861
28,Detached house,Hot-Humid,1960-1969,892.0,2936.0,2188.0,7.690743163541872,Central,B: 2-4 yrs,Central furnace,1.0,1.0,0.0,0.0,3,3.0,2.0,1,Owned,1078.87,6.983669476071893,250.56,5.523698412802438,227.78,5.428380250846205,846.0600000000003,6.740590279077194
29,Detached house,Cold/Very Cold,1950-1959,7218.0,540.0,3059.0,8.025843344150903,Central,B: 2-4 yrs,Central furnace,0.0,0.0,1.0,1.0,4,2.5,2.0,2,Owned,61.12,4.112839144858265,1778.36,7.48344687026928,159.82,5.074048181946317,1446.17,7.276673961506884
