,COOL_COST_log,HEAT_COST_log,WATERHEAT_COST_log,ELECT_COST_log,TOT_COST_log
1110,6.518217652423347,5.932510404264312,5.082459708534627,6.893544786513022,7.695544234195263
2521,6.827835063806089,7.128102925394328,5.352994927838733,7.282431228270421,8.25126217363997
4591,0.0,3.539799231099784,4.661455996998684,4.436278049505797,5.4058704767127574
5359,3.3593331775634567,5.288771953704505,5.5434572157341435,6.641482385767857,7.127420788916512
4257,4.793308128103487,5.969346741854363,5.099622495636137,6.596722692922106,7.248219536872887
495,6.074080863285215,7.061737373171064,5.949391770686074,7.78112598367053,8.383984032583115
4756,0.0,6.236819586787411,4.893277168152952,6.232074665920822,7.04875992713938
5340,0.0,4.993828175779875,5.5116529768711615,6.296556681069359,6.841359033342451
5326,4.5156830194865565,5.807872183180582,5.393582090773818,6.130225989149557,7.0038651389570274
4564,7.083865921249349,6.412130205915827,5.738763443551448,7.9118444113949575,8.484434434777354
5547,7.100233415985461,5.637927531860178,5.489226940528525,7.806545771030754,8.340176737645626
1534,4.733739286782799,6.1476346151690695,5.279440310778346,6.461686902431425,7.254693979149428
2627,6.2084089231793715,0.0,6.270288754248749,6.94683175096393,7.6321055402844635
4374,5.501380652028055,6.936945081112679,4.616011209165967,7.081397613388822,7.8486878904524495
4903,0.0,5.676308497655446,4.965847111306122,6.583174063114088,7.052833499656942
861,5.346535938818512,6.104636970206682,4.667393529168224,6.4935722802542495,7.259896963208227
792,5.710724986222776,6.5036891917876805,5.472900727246869,7.212574665229773,7.848238986453764
699,0.0,4.819313355105002,5.211178708731273,6.261491684321044,6.7204493206722145
5238,5.792983120114503,3.946037884015424,4.8321463833224785,6.852475100153961,7.27822858613639
4715,7.1968663299576106,0.0,6.3013544402931165,7.691780102882478,8.311108310109963
411,5.041423114248573,4.693638833975699,5.2526921885217615,6.291828365215705,6.899884384601567
3321,4.438288813682013,7.154451280953939,6.045076401556628,6.7912888761841845,7.891147494796977
4612,5.156926598356047,6.930367680652782,5.156580976232791,7.555130735295912,8.094863675215073
5535,5.651857401791282,5.8608716898989766,5.225316473663546,6.4724853883817675,7.290197379932761
3787,5.405690854816366,6.027434790897213,5.575380759851676,6.8387588360602365,7.512890582218868
3214,5.116015809554085,6.9597972930091725,5.30415032174048,7.211150746853408,7.927580460269533
4409,6.472609011147057,6.299886307677282,5.9835583755368855,7.134309009021562,7.951488906140258
3853,4.49345619635809,6.372004932356937,6.402779180005036,7.278035253354832,7.909607003213122
5481,6.376199597989749,6.7497203987391305,5.938353812702713,7.654575919087859,8.275911127398773
4529,5.7491381763769995,6.32048048305274,5.807962293565866,7.2526349311735405,7.867687706280877
5130,4.483115539980786,5.837963656122222,4.802872844820349,6.3355683037477215,7.016376472846134
5468,4.114800570789483,5.852547247921313,6.84516685516818,7.4900993822005715,8.050677870940826
866,4.391481793444637,5.933676523340588,4.767459089031809,6.8329024140800705,7.31375357825196
3887,0.0,5.213358427320847,6.201948300275401,6.630775729663492,7.267867309366061
3406,5.246602930861359,3.9590974128140752,5.193012404902613,5.945630010764183,6.686385154217068
5278,4.817778435386918,6.083542235308889,5.854269307930138,7.552426246084968,7.942131223074961
2999,3.7443141610020367,5.107701506929262,6.15283907202456,7.366065809636828,7.72135747782688
1059,7.088283562154998,5.2326048231826565,5.958760553934853,7.360123056776521,8.114112238948998
1130,5.174396784628558,7.9766091454859716,5.686568493921512,7.699692939705508,8.628426826494461
5413,3.5667118201397288,6.51830622638266,5.237983327508337,6.848185725385433,7.517678446879738
3335,5.356350397798646,6.681632293558928,6.291254275178919,7.592895489140166,8.169180620556157
2232,2.87919845729804,4.6488042230081525,4.437224795138643,5.614404663504986,6.169924490795553
581,0.0,4.905200701620736,6.100789693221973,7.9296700917777425,8.119014472979043
4072,4.435804340354354,5.499297105160525,5.605985872931933,7.123052125270044,7.516552991073719
332,6.882119471723487,7.545421461582568,4.698842661850726,8.120231823799294,8.753903496732411
1841,6.318553613438636,3.0647918094854862,5.849151854333263,6.846688059233687,7.528815520647181
2066,4.485147143388361,2.9354513426690607,3.5624655292582776,5.753619709503372,6.120517175022596
2915,3.614425268188989,5.675108614071593,5.349200576862606,6.555015439496852,7.121938808924836
960,4.657003334628108,5.705381196019897,4.996739188904145,6.91880401626702,7.353619892374548
4175,5.914853444736142,6.275834891838088,5.508456728726992,5.746905819038288,7.28554767173479
1629,4.271513980626359,4.482776537774026,5.1098771287459055,6.356159742672935,6.801049414303575
3912,4.702024627351974,5.076048432644488,7.57314578249704,8.243174679253428,8.701870305039892
1672,6.8436220090525355,5.764658045374483,5.41498867335173,6.712190415436318,7.741025206384697
5023,4.57295686362344,5.333974043756071,5.6331453950567605,5.981035351617442,6.8839542687961846
4728,5.285687950147895,3.9464244321454784,5.294058309627653,6.885560793472369,7.260831756198582
4465,4.078892457663178,6.128178370423804,6.4760796568538845,7.493345088118282,7.992995221709813
4648,4.048475128563647,5.928577994052792,5.924229059089153,6.928077379172044,7.509033850732554
2140,4.85779486662447,5.784163586603014,5.750825080989512,5.903343463712803,7.031352490623082
4286,0.0,5.196727510786404,6.480305264137198,6.942156705699468,7.531471992324081
139,4.0800765904243965,4.926673806915383,5.372171735118517,5.774085598498624,6.5947553985460665
2399,0.0,4.645063749649768,5.3428604292987085,6.202677207554227,6.6911527882113075
719,5.133973242984736,5.2870541742693264,4.5708892520112165,6.081168130189759,6.80086025323236
5134,4.0310497118497866,5.55624874334791,5.438861611540345,6.651649389965099,7.182663613515568
2887,6.511076458154592,5.382934212267916,5.117933930384341,7.213296915734683,7.788029119979103
47,5.639208397330961,7.141221369099264,6.573861714725663,7.790241006243931,8.449821861662446
5315,5.324082574434064,7.0972344918626895,5.202907181743378,7.4112662155327875,8.085536047143815
2075,4.188138441508461,6.851597540769874,4.773308298265572,6.365989232309508,7.443265710429992
962,5.426930434016013,6.521092297836568,5.489516071279594,6.757676298524933,7.604172108409705
1607,6.817184848796946,5.181165381737178,5.039935163141118,6.8660787527870015,7.69709406895499
2397,4.78088664372991,0.0,5.445702353461095,7.122810205392728,7.370797231894321
3465,4.963334020978244,4.3225419878389895,6.418952039250638,7.542096807396803,7.906396208073096
1697,6.2491641025638,6.56591264757092,4.9796948711896185,7.333989867095166,7.973138203798804
1303,4.363480717386784,6.207321616371218,4.86081964885856,6.599217224650979,7.269303330023843
1903,4.5564000216186615,6.822197390620492,6.271498698625492,7.364952251958424,8.045315807788691
4539,4.365643155423357,5.917495026907807,5.221544307742123,7.0651606565298914,7.497135118551704
4277,5.9991350534122025,4.706823839714591,4.604369865817322,6.9190611263511075,7.391458390340933
108,6.12909378209602,7.079799201364957,6.287505337934856,7.246866886540281,8.184586274811206
4441,4.64314011723972,0.0,4.740836797409625,7.065194830252012,7.234833529961481
4331,5.03226631422255,6.286091200044056,6.1426393749051,7.1318743543180245,7.784818577680432
2046,4.908233360478175,6.939990109115496,4.836281906951479,7.322860438788768,7.939404777011202
5147,6.724841546886992,5.4729427167075215,5.4885657561579775,7.6335196868261574,8.124512019469421
700,7.178423432074657,4.707546252604958,5.1564081203653425,6.444178950316659,7.705798367286365
2735,5.230466699639862,4.820765319544972,4.478586033878639,7.241559674363184,7.4912661490214685
387,0.0,0.0,4.178532512647126,5.583496308781699,5.79991050175042
5120,2.329227023940467,5.0695957869197645,5.654277054752362,6.60357790400116,7.0813892073785265
1819,6.805545350563556,4.749962930889632,5.6733919933321335,7.041542888780236,7.803675942595936
4166,6.156851858861227,0.0,5.5893812143462265,6.429574306211895,7.213341118211503
1248,4.711060561245524,6.65934520042004,5.176771008468541,7.109699708355269,7.7359140061979605
1268,6.2109213105641965,6.9955371923656715,6.2515762765221785,7.556166565700692,8.2985992748006
5119,3.8166128206234884,5.9102273763473585,4.298509146938508,6.116267331022821,6.843749949006225
1216,5.016617365773803,6.2151879302872,4.638895055389712,5.902906520126192,7.019046175120709
1266,5.6443508908867726,0.0,6.308444465425056,7.554015233636607,7.915081613112178
636,4.0727803843062595,4.234396317669857,5.022036716820699,6.046733677375122,6.5499225221795525
327,5.999085434239342,6.0870019738170456,5.591770255760243,6.988468531021312,7.692765796712714
5554,7.4417249999339745,6.108847502743026,5.970547298852594,7.562036883320215,8.404693922048718
1237,5.244336252681523,4.7018430732483525,6.334983326997159,7.184841412220514,7.687025108396495
5198,5.395126422476096,6.398495095940852,6.270383333889606,7.292602627664176,7.9431934486259745
5644,4.9589910609439185,0.0,5.089076720402819,6.332817709748903,6.763226493240312
