AWARDEENUMBER,PROJECTID,REASONFORPARTICIPATION,OUTREACHCHANNEL
3560,999991848,NA,16
3560,999991849,NA,23
3560,999991850,NA,23
3560,999991851,NA,23
3560,999991852,NA,23
3560,999991853,NA,7
3560,999991854,NA,7
3560,999991855,NA,7
3560,999991856,NA,20
3560,999991857,NA,7
3560,999991858,NA,7
3560,999991859,NA,23
3560,999991868,NA,16
3560,999991869,NA,23
3560,999991871,NA,23
3560,999991872,NA,23
3560,999991873,NA,23
3560,999991881,NA,23
3560,999991892,NA,16
3560,999991895,NA,23
3560,999991896,NA,23
3560,999991897,NA,3
3560,999991900,NA,16
3560,999991902,NA,23
3560,999991903,NA,23
3560,999991907,NA,16
3560,999991912,NA,23
3560,999991952,NA,3
3560,999991977,NA,16
3560,999991978,NA,16
3560,999991979,NA,23
3560,999991981,NA,23
3560,999991982,NA,23
3560,999991983,NA,23
3560,999991994,NA,23
3560,999991996,NA,23
3560,999992018,NA,3
3560,999992019,NA,3
3560,999992022,NA,16
3560,999992023,NA,7
3560,999992025,NA,7
3560,999992029,NA,16
3560,999992033,NA,16
3560,999992035,NA,23
3560,999992036,NA,23
3560,999992037,NA,16
3560,999992039,NA,16
3560,999992043,NA,20
3560,999992044,NA,23
3560,999992045,NA,20
3560,999992046,NA,20
3560,999992047,NA,16
3560,999992048,NA,16
3560,999992049,NA,16
3560,999992050,NA,16
3560,999992052,NA,16
3560,999992053,NA,23
3560,999992054,NA,16
3560,999992055,NA,16
3560,999992076,NA,16
3560,999992088,NA,20
3560,999992095,NA,16
3560,999992100,NA,23
3560,999992130,NA,23
3560,999992140,NA,16
3560,999992144,NA,16
3560,999992154,NA,23
3560,999992166,NA,20
3560,999992168,NA,7
3560,999992169,NA,20
3560,999992170,NA,23
3560,999992171,NA,16
3560,999992176,NA,23
3560,999992193,NA,23
3560,999992216,NA,23
3560,999992219,NA,23
3560,999992220,NA,23
3560,999992221,NA,23
3560,999992226,NA,23
3560,999992253,NA,20
3560,999992255,NA,16
3560,999992268,NA,20
3560,999992294,NA,16
3560,999992295,NA,23
3560,999992313,NA,23
3560,999992318,NA,20
3560,999992319,NA,23
3560,999992365,NA,23
3560,999992366,NA,23
3560,999992402,NA,23
3560,999992406,NA,23
3560,999992410,NA,16
3560,999992412,NA,7
3560,999992418,NA,3
3560,999992419,NA,3
3560,999992420,NA,3
3560,999992421,NA,20
3560,999992422,NA,20
3560,999992436,NA,16
3560,999992438,NA,23
3560,999992440,NA,23
3560,999992464,NA,20
3560,999992465,NA,20
3560,999992466,NA,16
3560,999992468,NA,16
3560,999992472,NA,20
3560,999992485,NA,23
3560,999992501,NA,3
3560,999992502,NA,3
3560,999992503,NA,3
3560,999992504,NA,3
3560,999992505,NA,3
3560,999992506,NA,3
3560,999992507,NA,3
3560,999992509,NA,3
3560,999992512,NA,3
3560,999992515,NA,3
3560,999992524,NA,16
3560,999992530,NA,16
3560,999992536,NA,20
3560,999992548,NA,3
3560,999992549,NA,3
3560,999992560,NA,23
3560,999992563,NA,20
3560,999992564,NA,3
3560,999992565,NA,23
3560,999992569,NA,23
3560,999992592,NA,3
3560,999992594,NA,3
3560,999992595,NA,3
3560,999992596,NA,16
3560,999992598,NA,16
3560,999992601,NA,20
3560,999992606,NA,20
3560,999992616,NA,20
3560,999992629,NA,23
3560,999992630,NA,23
3560,999992648,NA,23
3560,999992649,NA,16
3560,999992666,NA,20
3560,999992673,NA,20
3560,999992674,NA,23
3560,999992684,NA,23
3560,999992693,NA,23
3560,999992697,NA,23
3560,999992698,NA,23
3560,999992712,NA,3
3560,999992715,NA,3
3560,999992724,NA,3
3560,999992725,NA,23
3560,999992735,NA,23
3560,999992738,NA,20
3560,999992742,NA,23
3560,999992745,NA,23
3560,999992757,NA,20
3560,999992759,NA,3
3560,999992770,NA,3
3560,999992772,NA,16
3560,999992779,NA,10
3560,999992780,NA,23
3560,999992781,NA,23
3560,999992783,NA,20
3560,999992784,NA,20
3560,999992790,NA,23
3560,999992792,NA,20
3560,999992794,NA,20
3560,999992803,NA,23
3560,999992805,NA,23
3560,999992816,NA,23
3560,999992821,NA,20
3560,999992840,NA,23
3560,999992841,NA,23
3560,999992842,NA,23
3560,999992885,NA,23
3560,999992900,NA,20
3560,999992914,NA,16
3560,999992931,NA,20
3560,999992934,NA,23
3560,999992937,NA,23
3560,999992943,NA,20
3560,999992946,NA,23
3560,999992947,NA,20
3560,999992948,NA,16
3560,999992949,NA,20
3560,999992983,NA,23
3560,999992990,NA,16
3560,999992993,NA,23
3560,999992994,NA,16
3560,999993012,NA,10
3560,999993013,NA,10
3560,999993028,NA,16
3560,999993029,NA,16
3560,999993032,NA,3
3560,999993037,NA,20
3560,999993040,NA,23
3560,999993046,NA,23
3560,999993054,NA,23
3560,999993064,NA,3
3560,999993072,NA,3
3560,999993087,NA,16
3560,999993091,NA,23
3560,999993110,NA,16
3560,999993116,NA,20
3560,999993117,NA,20
3560,999993118,NA,3
3560,999993119,NA,16
3560,999993123,NA,20
3560,999993137,NA,23
3560,999993147,NA,23
3560,999993148,NA,23
3560,999993151,NA,10
3560,999993152,NA,23
3560,999993154,NA,16
3560,999993167,NA,23
3560,999993168,NA,20
3560,999993176,NA,16
3560,999993210,NA,16
3560,999993232,NA,20
3560,999993233,NA,20
3560,999993258,NA,16
3560,999993282,NA,23
3560,999993306,NA,16
3560,999993308,NA,20
3560,999993315,NA,16
3560,999993318,NA,13
3560,999993319,NA,16
3560,999993325,NA,16
3560,999993340,NA,20
3560,999993373,NA,3
3560,999993383,NA,23
3560,999993385,NA,23
3560,999993392,NA,3
3560,999993394,NA,3
3560,999993396,NA,3
3560,999993398,NA,3
3560,999993399,NA,3
3560,999993400,NA,3
3560,999993403,NA,3
3560,999993404,NA,3
3560,999993405,NA,3
3560,999993410,NA,16
3560,999993413,NA,3
3560,999993417,NA,23
3560,999993432,NA,20
3560,999993435,NA,16
3560,999993460,NA,20
3560,999993462,NA,16
3560,999993475,NA,16
3560,999993485,NA,23
3560,999993491,NA,23
3560,999993493,NA,20
3560,999993494,NA,23
3560,999993495,NA,7
3560,999993496,NA,20
3560,999993514,NA,20
3560,999993539,NA,20
3560,999993543,NA,3
3560,999993545,NA,3
3560,999993546,NA,3
3560,999993548,NA,3
3560,999993581,NA,23
3560,999993589,NA,3
3560,999993591,NA,3
3560,999993594,NA,3
3560,999993596,NA,3
3560,999993608,NA,3
3560,999993609,NA,16
3560,999993610,NA,16
3560,999993611,NA,3
3560,999993613,NA,3
3560,999993614,NA,3
3560,999993615,NA,16
3560,999993622,NA,3
3560,999993625,NA,16
3560,999993630,NA,3
3560,999993632,NA,3
3560,999993633,NA,3
3560,999993636,NA,3
3560,999993638,NA,3
3560,999993642,NA,3
3560,999993655,NA,3
3560,999993656,NA,3
3560,999993657,NA,3
3560,999993658,NA,3
3560,999993659,NA,3
3560,999993660,NA,3
3560,999993661,NA,3
3560,999993662,NA,3
3560,999993663,NA,3
3560,999993664,NA,3
3560,999993665,NA,3
3560,999993666,NA,23
3560,999993669,NA,20
3560,999993675,NA,20
3560,999993676,NA,3
3560,999993680,NA,3
3560,999993681,NA,3
3560,999993683,NA,3
3560,999993685,NA,3
3560,999993686,NA,3
3560,999993689,NA,3
3560,999993690,NA,16
3560,999993698,NA,20
3560,999993708,NA,16
3560,999993744,NA,16
3560,999993749,NA,3
3560,999993750,NA,16
3560,999993751,NA,3
3560,999993752,NA,3
3560,999993753,NA,16
3560,999993760,NA,16
3560,999993764,NA,16
3560,999993768,NA,16
3560,999993779,NA,20
3560,999993792,NA,20
3560,999993797,NA,20
3560,999993844,NA,23
3560,999993845,NA,20
3560,999993846,NA,20
3560,999993847,NA,20
3560,999993848,NA,3
3560,999993850,NA,20
3560,999993851,NA,20
3560,999993852,NA,20
3560,999993853,NA,20
3560,999993854,NA,20
3560,999993859,NA,3
3560,999993860,NA,3
3560,999993861,NA,3
3560,999993863,NA,3
3560,999993867,NA,3
3560,999993870,NA,3
3560,999993882,NA,20
3560,999993885,NA,23
3560,999993886,NA,3
3560,999993887,NA,3
3560,999993889,NA,3
3560,999993890,NA,3
3560,999993903,NA,23
3560,999993904,NA,20
3560,999993921,NA,23
3560,999993924,NA,23
3560,999993925,NA,23
3560,999993926,NA,23
3560,999993958,NA,3
3560,999993959,NA,3
3560,999993960,NA,3
3560,999993973,NA,3
3560,999993976,NA,3
3560,999993977,NA,3
3560,999993980,NA,3
3560,999993991,NA,23
3560,999993997,NA,23
3560,999993999,NA,3
3560,999994000,NA,3
3560,999994002,NA,3
3560,999994004,NA,20
3560,999994015,NA,23
3560,999994016,NA,23
3560,999994017,NA,23
3560,999994018,NA,20
3560,999994030,NA,23
3560,999994033,NA,3
3560,999994038,NA,3
3560,999994039,NA,3
3560,999994042,NA,3
3560,999994043,NA,23
3560,999994070,NA,20
3560,999994076,NA,20
3560,999994081,NA,20
3560,999994084,NA,20
3560,999994101,NA,23
3560,999994104,NA,23
3560,999994110,NA,3
3560,999994112,NA,3
3560,999994113,NA,23
3560,999994133,NA,23
3560,999994154,NA,20
3560,999994159,NA,23
3560,999994160,NA,20
3560,999994181,NA,20
3560,999994203,NA,23
3560,999994224,NA,23
3560,999994257,NA,20
3560,999994262,NA,20
3560,999994272,NA,23
3560,999994274,NA,23
3560,999994312,NA,20
3560,999994320,NA,20
3560,999994344,NA,23
3560,999994387,NA,23
3560,999994390,NA,23
3560,999994395,NA,23
3560,999994410,NA,20
3560,999994420,NA,23
3560,999994422,NA,16
3560,999994425,NA,23
3560,999994426,NA,23
3560,999994434,NA,16
3560,999994435,NA,16
3560,999994438,NA,23
3560,999994440,NA,23
3560,999994441,NA,20
3560,999994442,NA,23
3560,999994443,NA,23
3560,999994444,NA,23
3560,999994446,NA,16
3560,999994448,NA,16
3560,999994450,NA,16
3560,999994452,NA,16
3560,999994455,NA,23
3560,999994462,NA,16
3560,999994467,NA,16
3560,999994468,NA,16
3560,999994471,NA,16
3560,999994474,NA,3
3560,999994478,NA,3
3560,999994481,NA,3
3560,999994484,NA,3
3560,999994487,NA,3
3560,999994516,NA,20
3560,999994542,NA,23
3560,999994543,NA,23
3560,999994544,NA,23
3560,999994545,NA,23
3560,999994546,NA,3
3560,999994548,NA,16
3560,999994549,NA,16
3560,999994550,NA,3
3560,999994551,NA,23
3560,999994552,NA,16
3560,999994553,NA,16
3560,999994554,NA,16
3560,999994555,NA,23
3560,999994556,NA,16
3560,999994561,NA,16
3560,999994563,NA,16
3560,999994572,NA,20
3560,999994579,NA,16
3560,999994581,NA,16
3560,999994585,NA,16
3560,999994588,NA,16
3560,999994589,NA,20
3560,999994594,NA,20
3560,999994595,NA,3
3560,999994597,NA,16
3560,999994598,NA,16
3560,999994599,NA,20
3560,999994600,NA,16
3560,999994601,NA,16
3560,999994602,NA,16
3560,999994603,NA,20
3560,999994604,NA,23
3560,999994605,NA,23
3560,999994606,NA,23
3560,999994607,NA,23
3560,999994610,NA,23
3560,999994613,NA,16
3560,999994614,NA,16
3560,999994617,NA,20
3560,999994618,NA,23
3560,999994619,NA,23
3560,999994635,NA,23
3560,999994636,NA,23
3560,999994637,NA,23
3560,999994641,NA,23
3560,999994642,NA,23
3560,999994643,NA,23
3560,999994644,NA,23
3560,999994645,NA,23
3560,999994646,NA,23
3560,999994647,NA,23
3560,999994648,NA,23
3560,999994658,NA,23
3560,999994667,NA,16
3560,999994670,NA,16
3560,999994674,NA,16
3560,999994682,NA,16
3560,999994708,NA,23
3560,999994716,NA,23
3560,999994755,NA,23
3560,999994762,NA,23
3560,999994768,NA,23
3560,999994776,NA,23
3560,999994780,NA,23
3560,999994823,NA,16
3560,999994824,NA,16
3560,999994827,NA,16
3560,999994828,NA,16
3560,999994829,NA,3
3560,999994830,NA,16
3560,999994831,NA,16
3560,999994838,NA,23
3560,999994842,NA,23
3560,999994846,NA,23
3560,999994847,NA,23
3560,999994858,NA,23
3560,999994863,NA,23
3560,999994864,NA,23
3560,999994867,NA,23
3560,999994877,NA,16
3560,999994881,NA,16
3560,999994883,NA,16
3560,999994886,NA,16
3560,999994887,NA,16
3560,999994888,NA,16
3560,999994889,NA,16
3560,999994890,NA,16
3560,999994891,NA,16
3560,999994893,NA,16
3560,999994894,NA,16
3560,999994896,NA,16
3560,999994898,NA,16
3560,999994904,NA,16
3560,999994905,NA,16
3560,999994906,NA,16
3560,999994908,NA,16
3560,999994909,NA,16
3560,999994910,NA,16
3560,999994911,NA,16
3560,999994912,NA,16
3560,999994913,NA,16
3560,999994914,NA,16
3560,999994915,NA,16
3560,999994917,NA,16
3560,999994918,NA,16
3560,999994919,NA,16
3560,999994920,NA,16
3560,999994921,NA,16
3560,999994923,NA,16
3560,999994924,NA,16
3560,999994927,NA,16
3560,999994977,NA,23
3560,999994985,NA,16
3560,999994988,NA,23
3560,999995016,NA,16
3560,999995017,NA,16
3560,999995018,NA,16
3560,999995019,NA,16
3560,999995020,NA,16
3560,999995024,NA,16
3560,999995026,NA,23
3560,999995028,NA,16
3560,999995029,NA,23
3560,999995030,NA,20
3560,999995044,NA,20
3560,999995045,NA,23
3560,999995046,NA,23
3560,999995047,NA,16
3560,999995048,NA,23
3560,999995055,NA,16
3560,999995056,NA,16
3560,999995057,NA,16
3560,999995058,NA,16
3560,999995059,NA,16
3560,999995072,NA,23
3560,999995078,NA,23
3560,999995088,NA,23
3560,999995090,NA,23
3560,999995107,NA,16
3560,999995108,NA,3
3560,999995114,NA,23
3560,999995140,NA,20
3560,999995144,NA,23
3560,999995161,NA,16
3560,999995162,NA,16
3560,999995163,NA,16
3560,999995164,NA,16
3560,999995166,NA,16
3560,999995167,NA,16
3560,999995168,NA,16
3560,999995169,NA,16
3560,999995183,NA,23
3560,999995189,NA,23
3560,999995190,NA,23
3560,999995199,NA,16
3560,999995201,NA,16
3560,999995203,NA,23
3560,999995205,NA,23
3560,999995207,NA,23
3560,999995208,NA,16
3560,999995281,NA,20
3560,999995294,NA,23
3560,999995295,NA,20
3560,999995297,NA,23
3560,999995300,NA,20
3560,999995301,NA,23
3560,999995302,NA,23
3560,999995306,NA,23
3560,999995314,NA,23
3560,999995315,NA,20
3560,999995319,NA,20
3560,999995320,NA,16
3560,999995321,NA,20
3560,999995325,NA,23
3560,999995337,NA,20
3560,999995343,NA,20
3560,999995345,NA,16
3560,999995346,NA,16
3560,999995347,NA,16
3560,999995348,NA,16
3560,999995349,NA,16
3560,999995350,NA,16
3560,999995351,NA,16
3560,999995358,NA,23
3560,999995364,NA,23
3560,999995365,NA,23
3560,999995366,NA,10
